16 20
芙蓉湖 芙蓉湖是厦门大学的一个湖
建南大礼堂 建南大礼堂是厦门大学的一个礼堂
芙蓉隧道 芙蓉隧道是厦门大学的一个隧道
三家村广场 三家村广场是厦门大学的一个广场
芙蓉餐厅 芙蓉餐厅是厦门大学的一个餐厅
南光餐厅 南光餐厅是厦门大学的一个餐厅
凌云餐厅 凌云餐厅是厦门大学的一个餐厅
情人谷 情人谷是厦门大学的一个水库
大南校门 大南校门是厦门大学的一个校门
南普陀寺 南普陀寺是厦门大学旁边的一个寺庙
西校门 西校门是厦门大学的一个校门
西村 西村是厦门大学旁边的一个村
上弦场 上弦场是厦门大学的一个运动场
王清明游泳馆 王清明游泳馆是厦门大学的一个游泳馆
演武场 演武场是厦门大学的一个运动场
厦大学生公寓 厦大学生公寓是海韵职业技术学院
芙蓉餐厅 芙蓉隧道 46
芙蓉餐厅 三家村广场 171
南光餐厅 芙蓉湖 343
南光餐厅 建南大礼堂 249
南光餐厅 三家村广场 60
凌云餐厅 芙蓉湖 335
情人谷 凌云餐厅 649
大南校门 芙蓉湖 324
大南校门 南光餐厅 608
南普陀寺 大南校门 244
西校门 南光餐厅 758
西校门 大南校门 691
西村 西校门 168
上弦场 建南大礼堂 47
王清明游泳馆 西校门 176
演武场 建南大礼堂 414
演武场 南光餐厅 556
演武场 西校门 227
演武场 王清明游泳馆 146
厦大学生公寓 芙蓉隧道 1600

